sigma_rate,exp_b,beta
1.1660199,1.9075491,2.348856
1.1627533,1.6494535,2.2939172
1.1350241,1.7441772,2.400519
1.0782671,1.6291379,2.3757339
1.210445,1.5873573,2.349415
1.1278714,1.5567381,2.3480022
0.9945327,1.6528,2.3841383
1.2287567,1.8533823,2.3403068
1.1081891,1.8797832,2.348929
1.13322,1.6990211,2.317365
1.1962987,1.5856533,2.3065016
1.1570164,1.7645401,2.4204614
1.2509861,1.5687561,2.3441508
1.0777339,1.6565351,2.3775446
1.1684436,1.7158794,2.3958004
1.221381,1.6392039,2.354299
1.0901289,1.5977682,2.4748342
1.1589483,1.6300461,2.2267168
1.1908029,1.6404784,2.3623707
1.152584,1.3839475,2.3678472
1.1041025,1.7569358,2.3746574
1.1806433,1.6032312,2.2637641
1.2677686,1.4608535,2.205884
1.1116601,1.5412012,2.3653305
1.2014546,1.6889104,2.303964
1.0977103,1.8060104,2.3894432
1.2042351,1.6340821,2.2810192
1.2198629,1.573316,2.2889276
1.1730462,1.7041938,2.2373083
1.1953837,1.794976,2.2528255
1.1890055,1.5874721,2.321733
1.3104935,1.6218292,2.357628
1.1169599,1.5145545,2.3618355
1.1813272,1.749093,2.3760035
1.1794721,1.623109,2.4462647
1.2143166,1.80701,2.3576856
1.136409,1.604875,2.3409002
1.1461084,1.7749194,2.4118323
1.2354405,1.4963422,2.3193686
1.0642222,1.7568287,2.3954792
1.201991,1.6071898,2.3573163
1.1141179,1.7088407,2.4006376
1.1563075,1.6575062,2.3687851
1.1803756,1.7070096,2.2836602
1.1275725,1.6640555,2.443836
1.1919557,1.6045238,2.3349915
1.1333685,1.7022524,2.3342636
1.1478677,1.7546296,2.3191915
1.2092359,1.5622933,2.3642483
1.2686902,1.4977794,2.3732467
1.222867,1.4763353,2.3610168
1.1420379,1.772348,2.3595204
1.1616198,1.6668615,2.4467118
1.1879216,1.5625625,2.3173425
1.1925682,1.5944688,2.2685175
1.2080964,1.5649217,2.3327646
1.2617803,1.5068277,2.3267121
1.1556547,1.7413927,2.3242981
1.2002143,1.5994141,2.3643064
1.1182432,1.7613428,2.3253317
1.2286096,1.5996647,2.3864489
1.1323284,1.630065,2.2375596
1.1567328,1.5908762,2.4428167
1.1803342,1.6407007,2.3094273
1.1225291,1.6447806,2.3231862
1.2048339,1.7123152,2.3479548
1.1272918,1.755903,2.428297
1.1881765,1.6659839,2.3097458
1.26294,1.9635615,2.3167934
1.1990633,1.7653458,2.3647635
1.1721803,1.5648637,2.3649397
