sigma_rate,exp_a,exp_b,beta
0.29605198,-1.0566535,0.8032604,2.5841322
0.30884755,-0.9936825,0.9805299,2.6278212
0.30677035,-1.0392771,0.8161304,2.6637914
0.43324706,-1.0199957,0.8416774,2.5918577
0.35838464,-1.0694252,1.0291551,2.541462
0.26380125,-1.206202,1.0843935,2.277208
0.2913319,-1.0981082,1.0612776,2.480762
0.31438485,-0.9354443,0.79043293,2.5888944
0.3421108,-1.0304086,0.91500235,2.613423
0.3552662,-1.0852579,0.9549398,2.480998
0.3171161,-1.1089823,0.76149,2.5157275
0.27924976,-1.148445,0.8536609,2.407519
0.27176154,-1.1036668,0.75501096,2.3937552
0.3758006,-1.096399,1.1367466,2.6363015
0.37211582,-0.91797376,0.99065405,2.4675033
0.32271865,-1.0510256,0.873996,2.4279497
0.33726826,-0.9972933,0.8199985,2.5098836
0.37437493,-0.98175013,0.8463837,2.5362287
0.35279953,-1.126008,0.89267015,2.4671621
0.29026416,-1.072758,0.8364668,2.492732
0.30903506,-0.99536735,0.92192745,2.4552794
0.2775502,-1.027684,0.9543653,2.488778
0.3604934,-1.2005031,0.70329773,2.416305
0.3858614,-0.9977416,1.1123948,2.4573739
0.34641436,-0.9878809,0.7234263,2.4792979
0.28565693,-1.0154139,0.94156307,2.6753173
0.2580711,-1.0943146,0.92013437,2.519584
0.31341863,-1.0447639,0.8883062,2.642285
0.3373577,-0.9967809,0.8856919,2.6308725
0.31693137,-1.0041766,0.92945796,2.657013
0.33413184,-0.9431797,0.8488947,2.5751083
