sigma_rate,exp_a,exp_b,beta
1.0902276,0.3184008,1.7500564,2.3361502
1.0545956,0.3286947,1.6716689,2.3841178
1.0999646,0.34358725,1.7928358,2.4339163
1.0872184,0.27386072,1.7084817,2.3210247
1.0937133,0.38186616,1.6271342,2.3276663
1.1272336,0.38376695,1.6341587,2.4251926
1.1163726,0.32851213,1.8873385,2.4051592
1.1111503,0.35006014,1.6506615,2.41866
1.0053067,0.37538415,1.6043125,2.3992236
1.086285,0.36922976,1.7098007,2.4058287
1.1279477,0.40429503,1.7097185,2.397882
1.0834237,0.3709516,1.6944417,2.470053
1.1278707,0.3694862,1.7791305,2.3766477
1.059714,0.3972818,1.6929169,2.5117338
1.1503022,0.48259932,1.5771862,2.4751701
1.121725,0.2998123,1.7654681,2.3887975
1.0737016,0.28476122,1.7011375,2.4213667
1.1170762,0.35954237,1.6778848,2.3823876
1.1137003,0.3262223,1.710733,2.496013
1.1128551,0.46262318,1.6475356,2.4514036
1.0521121,0.3491816,1.6879846,2.3848498
1.1371245,0.436221,1.6164694,2.4349072
1.0982695,0.39745215,1.6313695,2.3440545
1.069986,0.29741418,1.706354,2.357553
1.1002091,0.38460505,1.6063285,2.3958018
1.154978,0.38820153,1.6272792,2.429299
1.1162069,0.33211768,1.65262,2.3996792
1.1249739,0.36627126,1.7720186,2.4614975
1.1123128,0.4650656,1.6240079,2.4909463
1.1085726,0.36587983,1.6700935,2.393867
1.1254995,0.30839962,1.7510086,2.392516
1.1219534,0.32283655,1.577927,2.333355
1.0848782,0.36241987,1.7671912,2.4139664
1.0984921,0.40920895,1.6618593,2.4004397
1.1312263,0.3553256,1.6597972,2.390893
1.1004798,0.38576287,1.6028066,2.3288045
1.0824088,0.3262381,1.7484128,2.4043303
1.0599686,0.30187982,1.6906897,2.3109229
1.122798,0.24692532,1.742527,2.3054395
1.1209159,0.30031294,1.7785211,2.3069096
1.0962373,0.38088417,1.658714,2.4493217
1.0972973,0.3349332,1.7216129,2.4118688
1.1121873,0.43537802,1.6421983,2.3639383
1.0602703,0.23858158,1.7990471,2.313406
1.1086974,0.28646773,1.7020775,2.3859127
1.114116,0.3972527,1.7191532,2.441491
1.1160456,0.3894167,1.596213,2.4321737
1.087644,0.4133488,1.6299174,2.4353156
1.1180382,0.3818496,1.7167827,2.342392
1.1566979,0.42676237,1.5697412,2.4045928
1.0661681,0.47014493,1.6622965,2.3677537
1.0948994,0.34909537,1.6816845,2.4839206
1.1124116,0.4025761,1.5554177,2.4587495
1.063489,0.37656307,1.6817086,2.3418875
1.1050488,0.3954871,1.5948213,2.3700192
1.1036389,0.3865561,1.6772177,2.3128717
1.1161717,0.38785157,1.7462566,2.4143982
1.1069336,0.3586831,1.7201779,2.475618
1.0857688,0.34900287,1.7758406,2.4470067
1.0897706,0.39989185,1.6484717,2.3940868
1.0772814,0.37662762,1.6413263,2.3557792
1.086557,0.26680353,1.7581108,2.2926626
1.1087352,0.39449722,1.6941122,2.3377755
1.1446314,0.3392246,1.7441051,2.4842932
1.1094666,0.36532593,1.6507391,2.3726075
1.0828403,0.37475842,1.7235311,2.4861937
1.1072325,0.36304688,1.6613805,2.4373236
1.0896124,0.37360355,1.6923187,2.3808663
1.1038498,0.23168933,1.9235964,2.332865
1.1515948,0.39373136,1.7427971,2.44422
1.1335522,0.34416932,1.7977799,2.4240308
1.0597448,0.44992256,1.6766727,2.4322562
1.0823485,0.3098899,1.8024852,2.4519405
1.0913644,0.37874278,1.642434,2.4142168
1.1447599,0.36876583,1.7654287,2.4098802
1.0692114,0.29286194,1.7275118,2.3957458
1.0909996,0.3218716,1.7314683,2.4198282
1.065331,0.33900768,1.7093877,2.388859
1.1126108,0.30030602,1.7523329,2.4303799
1.0794321,0.41590208,1.5756372,2.4073873
1.0818131,0.32388526,1.7049395,2.395554
1.059969,0.34019047,1.634377,2.379974
1.0916764,0.3181024,1.7454218,2.3264081
1.0987498,0.377656,1.677173,2.366161
1.1035656,0.27412224,1.6879913,2.300094
1.0790554,0.4138446,1.6944841,2.456095
1.1039062,0.41306788,1.6181159,2.3749607
1.0909183,0.34492862,1.7209163,2.4792538
1.1078976,0.3563814,1.72511,2.4133584
1.1108289,0.34312072,1.6205267,2.366723
1.1894625,0.45331916,1.6112238,2.4367568
1.1391292,0.35936517,1.6620188,2.4413476
1.0603906,0.30627367,1.6719177,2.3563962
1.1130135,0.42933172,1.6764576,2.426174
1.1439236,0.43960834,1.6005443,2.387517
1.0719547,0.3237573,1.7365646,2.359825
1.1289531,0.31283137,1.681997,2.503053
1.1012393,0.37377068,1.6355338,2.356123
1.0566401,0.31370085,1.7413502,2.4353151
1.1027802,0.3683178,1.661191,2.3844357
1.1266613,0.41460264,1.6282861,2.4230416
1.0865752,0.47516853,1.6499863,2.4851522
1.1240202,0.4021066,1.6785663,2.3803496
1.1169337,0.41956878,1.6495811,2.4238873
1.1208771,0.35328403,1.660774,2.3508918
1.0918787,0.28836718,1.8490169,2.377211
1.1293898,0.35857067,1.7403945,2.4098914
1.1060028,0.28325894,1.6480727,2.3212368
1.0621196,0.3861283,1.7233689,2.4478526
